,Patient,Gene1,Gene2,Edge,Curvature,Response
98,CJM_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.37090875022909753,0
99,CJM_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.5854464933484268,0
100,CJM_SKIN,EGFR,SHC3,EGFR;SHC3,0.5270667005363453,0
101,CJM_SKIN,EGFR,SOS1,EGFR;SOS1,0.5177164567397634,0
102,CJM_SKIN,NTRK2,SHC3,NTRK2;SHC3,-3.653175782319634,0
103,CJM_SKIN,SOS1,SHC3,SOS1;SHC3,0.05847400166032246,0
104,CJM_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.3586360420132465,0
105,COLO792_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.6500093957286572,1
106,COLO792_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.0,1
107,COLO792_SKIN,GRB2,EGFR,GRB2;EGFR,0.0,1
108,COLO792_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.0,1
109,COLO792_SKIN,GRB2,SRC,GRB2;SRC,0.0,1
110,COLO792_SKIN,GRB2,SHC3,GRB2;SHC3,0.0,1
111,COLO792_SKIN,GRB2,SOS1,GRB2;SOS1,0.0,1
112,COLO792_SKIN,SRC,ERBB3,SRC;ERBB3,0.6108254383179289,1
113,COLO792_SKIN,SRC,ERBB2,SRC;ERBB2,0.5784670464186055,1
114,COLO792_SKIN,SRC,EGFR,SRC;EGFR,0.0,1
115,COLO792_SKIN,SRC,SOS1,SRC;SOS1,0.0,1
116,COLO792_SKIN,SRC,SHC3,SRC;SHC3,0.0,1
117,COLO792_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.6771802506549807,1
118,COLO792_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.0,1
119,COLO792_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.0,1
120,COLO792_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.54723496887642,1
121,COLO792_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,1
122,COLO792_SKIN,EGFR,SOS1,EGFR;SOS1,0.0,1
123,COLO792_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,1
124,COLO792_SKIN,SOS1,SHC3,SOS1;SHC3,0.0,1
125,COLO792_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.5478130089925988,1
126,COLO800_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.5973722576734366,0
127,COLO800_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.5732585459275801,0
128,COLO800_SKIN,GRB2,EGFR,GRB2;EGFR,0.3721297549282878,0
129,COLO800_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.0,0
130,COLO800_SKIN,GRB2,SRC,GRB2;SRC,0.6211291099460384,0
131,COLO800_SKIN,GRB2,SHC3,GRB2;SHC3,0.0,0
132,COLO800_SKIN,GRB2,SOS1,GRB2;SOS1,0.16486637284649963,0
133,COLO800_SKIN,SRC,ERBB3,SRC;ERBB3,0.6150939461550862,0
134,COLO800_SKIN,SRC,ERBB2,SRC;ERBB2,0.5953404975234097,0
135,COLO800_SKIN,SRC,EGFR,SRC;EGFR,0.5336375354577179,0
136,COLO800_SKIN,SRC,SOS1,SRC;SOS1,0.44874659611564804,0
137,COLO800_SKIN,SRC,SHC3,SRC;SHC3,0.5315528860510863,0
138,COLO800_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.6530573079761369,0
139,COLO800_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.46426629847330303,0
140,COLO800_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.453795716935405,0
141,COLO800_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.5049772290353055,0
142,COLO800_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,0
143,COLO800_SKIN,EGFR,SOS1,EGFR;SOS1,-0.0755277295162966,0
144,COLO800_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,0
145,COLO800_SKIN,SOS1,SHC3,SOS1;SHC3,-0.16372037678745666,0
146,COLO800_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.5005808058987271,0
147,COLO829_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.0,0
148,COLO829_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.0,0
149,COLO829_SKIN,GRB2,EGFR,GRB2;EGFR,0.0,0
150,COLO829_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.0,0
151,COLO829_SKIN,GRB2,SRC,GRB2;SRC,0.0,0
152,COLO829_SKIN,GRB2,SHC3,GRB2;SHC3,0.0,0
153,COLO829_SKIN,GRB2,SOS1,GRB2;SOS1,0.0,0
154,COLO829_SKIN,SRC,ERBB3,SRC;ERBB3,0.0,0
155,COLO829_SKIN,SRC,ERBB2,SRC;ERBB2,0.0,0
156,COLO829_SKIN,SRC,EGFR,SRC;EGFR,0.0,0
157,COLO829_SKIN,SRC,SOS1,SRC;SOS1,0.0,0
158,COLO829_SKIN,SRC,SHC3,SRC;SHC3,0.0,0
159,COLO829_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.0,0
160,COLO829_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.0,0
161,COLO829_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.0,0
162,COLO829_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.0,0
163,COLO829_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,0
164,COLO829_SKIN,EGFR,SOS1,EGFR;SOS1,0.0,0
165,COLO829_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,0
166,COLO829_SKIN,SOS1,SHC3,SOS1;SHC3,0.0,0
