,Patient,Gene1,Gene2,Edge,Curvature,Response
169,HCC2108_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-2.103984086914117,0
170,HCC2108_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.3074418377228886,0
171,HCC2279_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.2005981252081832,0
172,HCC2279_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.2895133606157313,0
173,HCC2279_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.7682630614097499,0
174,HCC2279_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.49340730718860737,0
175,HCC2279_LUNG,IGF1R,INSR,IGF1R;INSR,-4.874081680717446,0
176,HCC2279_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-7.354469051805324,0
177,HCC2279_LUNG,IGF1R,IGF2,IGF1R;IGF2,0.0,0
178,HCC2279_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.20639253315720496,0
179,HCC2279_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
180,HCC2279_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.054157774033092965,0
181,HCC2279_LUNG,IGF2,IDE,IGF2;IDE,0.0,0
182,HCC2279_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.1609709297628531,0
183,HCC2279_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.32925518397212306,0
184,HCC2279_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.001614300683745018,0
185,HCC2279_LUNG,IGF2,INSR,IGF2;INSR,0.0,0
186,HCC2279_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.0,0
187,HCC2279_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.002775016198472313,0
188,HCC2279_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-9.813253383941793,0
189,HCC2279_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.21453544877576047,0
190,HCC366_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.05719709676462226,0
191,HCC366_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,-0.05107815746824129,0
192,HCC366_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.7002703863093578,0
193,HCC366_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.5226643454996657,0
194,HCC366_LUNG,IGF1R,INSR,IGF1R;INSR,-2.40011955035449,0
195,HCC366_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-5.070724615385324,0
196,HCC366_LUNG,IGF1R,IGF2,IGF1R;IGF2,-5.378713412735532,0
197,HCC366_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,-0.1482536363283431,0
198,HCC366_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
199,HCC366_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.047594250345969535,0
200,HCC366_LUNG,IGF2,IDE,IGF2;IDE,-0.06810455037254393,0
201,HCC366_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.17563162565043555,0
202,HCC366_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.3248974284446061,0
203,HCC366_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,-0.04339163122916845,0
204,HCC366_LUNG,IGF2,INSR,IGF2;INSR,0.0,0
205,HCC366_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-8.406723794712033,0
206,HCC366_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.1600848600289767,0
207,HCC366_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-6.4511797624028215,0
208,HCC366_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.32482281204453745,0
209,HCC4006_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.17038319801852908,1
210,HCC4006_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.1897477315637779,1
211,HCC4006_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6725698301346728,1
212,HCC4006_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.3718964915241467,1
213,HCC4006_LUNG,IGF1R,INSR,IGF1R;INSR,-1.328968085137289,1
214,HCC4006_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-1.8314209236391226,1
215,HCC4006_LUNG,IGF1R,IGF2,IGF1R;IGF2,-3.0546404296453202,1
216,HCC4006_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.12332297942602444,1
217,HCC4006_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,1
218,HCC4006_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.1022939623596073,1
219,HCC4006_LUNG,IGF2,IDE,IGF2;IDE,-0.055256557056718725,1
220,HCC4006_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.10858581092089004,1
221,HCC4006_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.1057231285987944,1
222,HCC4006_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,-0.12189484967663389,1
223,HCC4006_LUNG,IGF2,INSR,IGF2;INSR,0.0,1
224,HCC4006_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-3.7454153565633233,1
225,HCC4006_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.06262313570235123,1
226,HCC4006_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-2.677869597471141,1
227,HCC4006_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.4370837326554342,1
228,HCC44_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.26893664913614745,0
229,HCC44_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.41554335930326536,0
230,HCC44_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.725650997517385,0
231,HCC44_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.1063936928071314,0
232,HCC44_LUNG,IGF1R,INSR,IGF1R;INSR,0.0,0
233,HCC44_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-3.2670478060853583,0
234,HCC44_LUNG,IGF1R,IGF2,IGF1R;IGF2,0.0,0
235,HCC44_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.0,0
236,HCC44_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
237,HCC44_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.0,0
238,HCC44_LUNG,IGF2,IDE,IGF2;IDE,0.0,0
239,HCC44_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.17914296747597125,0
240,HCC44_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.0,0
241,HCC44_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.15842794646669922,0
242,HCC44_LUNG,IGF2,INSR,IGF2;INSR,0.0,0
243,HCC44_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.0,0
244,HCC44_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.13541921310313487,0
245,HCC44_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-7.168864315817553,0
246,HCC44_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.4561460906491893,0
247,HCC78_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.0,0
248,HCC78_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,-2.3801825452421097,0
249,HCC78_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6283515073277846,0
250,HCC78_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.5422667506175338,0
251,HCC78_LUNG,IGF1R,INSR,IGF1R;INSR,0.0,0
252,HCC78_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-16.105493237973885,0
253,HCC78_LUNG,IGF1R,IGF2,IGF1R;IGF2,0.0,0
254,HCC78_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.0,0
255,HCC78_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
256,HCC78_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.0,0
257,HCC78_LUNG,IGF2,IDE,IGF2;IDE,0.0,0
258,HCC78_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.0,0
259,HCC78_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.0,0
260,HCC78_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.0,0
261,HCC78_LUNG,IGF2,INSR,IGF2;INSR,0.0,0
262,HCC78_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-19.887120402393755,0
263,HCC78_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.0,0
264,HCC78_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-16.535471880087677,0
265,HCC78_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.4249594370846824,0
266,HCC827_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.16651354129590357,1
267,HCC827_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.3460752632400903,1
268,HCC827_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.7172566794146955,1
269,HCC827_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.4361200573402718,1
270,HCC827_LUNG,IGF1R,INSR,IGF1R;INSR,-3.549146210114321,1
271,HCC827_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-2.560772250062279,1
272,HCC827_LUNG,IGF1R,IGF2,IGF1R;IGF2,-6.915368182311395,1
273,HCC827_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,-0.3140180517019908,1
274,HCC827_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,1
275,HCC827_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.10616712809117912,1
276,HCC827_LUNG,IGF2,IDE,IGF2;IDE,-0.30897251858727204,1
277,HCC827_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,-0.2985731798724143,1
278,HCC827_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.0,1
279,HCC827_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.07316341534361248,1
280,HCC827_LUNG,IGF2,INSR,IGF2;INSR,0.0,1
281,HCC827_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-5.4544012671540365,1
282,HCC827_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.2525653979296012,1
283,HCC827_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-4.595786682708766,1
284,HCC827_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.2571090027816163,1
285,HOP62_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.058665228335740616,1
286,HOP62_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,-0.2615934776322879,1
287,HOP62_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6213526870088993,1
288,HOP62_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.5144425305722992,1
289,HOP62_LUNG,IGF1R,INSR,IGF1R;INSR,0.11789323913039962,1
290,HOP62_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-0.30439344305339233,1
291,HOP62_LUNG,IGF1R,IGF2,IGF1R;IGF2,-0.37480055461415107,1
292,HOP62_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,-0.8289444404231179,1
293,HOP62_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,-1.106835400427666,1
